date;num_tests;num_case;total_intensive_care;total_intubated;num_recovered;num_deaths
11.03.2020;0;1;0;0;0;0
12.03.2020;0;0;0;0;0;0
13.03.2020;0;4;0;0;0;0
14.03.2020;0;0;0;0;0;0
15.03.2020;2800;1;0;0;0;0
16.03.2020;0;12;0;0;0;0
17.03.2020;0;29;0;0;0;1
18.03.2020;7197;51;0;0;0;0
19.03.2020;1981;94;0;0;0;2
20.03.2020;3656;167;0;0;0;1
21.03.2020;2953;311;0;0;0;5
22.03.2020;1758;566;0;0;0;21
23.03.2020;3672;293;0;0;0;7
24.03.2020;3952;343;0;0;0;7
25.03.2020;5035;561;0;0;26;15
26.03.2020;7286;1196;0;0;0;16
27.03.2020;7533;2069;344;241;16;17
28.03.2020;7641;1704;445;309;28;16
29.03.2020;9982;1815;568;394;35;23
30.03.2020;11535;1610;725;523;57;37
31.03.2020;15422;2704;847;622;81;46
1.04.2020;14396;2148;979;692;90;63
2.04.2020;18757;2456;1101;783;82;79
3.04.2020;16160;2786;1251;867;69;69
4.04.2020;19664;3013;1311;909;302;76
5.04.2020;20065;3135;1381;935;256;73
6.04.2020;21400;3148;1415;966;284;75
7.04.2020;20023;3892;1474;987;256;76
8.04.2020;24900;4117;1492;995;264;87
9.04.2020;28578;4056;1552;1017;296;96
10.04.2020;30864;4747;1667;1062;281;98
11.04.2020;33170;5138;1626;1021;542;95
12.04.2020;35720;4789;1665;978;481;97
13.04.2020;34456;4093;1786;1063;537;98
14.04.2020;33070;4062;1809;1087;842;107
15.04.2020;34090;4281;1820;1052;875;115
16.04.2020;40427;4801;1854;1040;1415;125
17.04.2020;40270;4353;1845;1014;1542;126
18.04.2020;40520;3783;1894;1054;1822;121
19.04.2020;35344;3977;1922;1031;1523;127
20.04.2020;39703;4674;1909;1033;1454;123
21.04.2020;39429;4611;1865;1006;1488;119
22.04.2020;37535;3083;1814;985;1559;117
23.04.2020;40962;3116;1816;982;2014;115
24.04.2020;38351;3122;1790;929;3246;109
25.04.2020;38308;2861;1783;900;3845;106
26.04.2020;30177;2357;1776;883;3558;99
27.04.2020;20143;2131;1736;882;4651;95
28.04.2020;29230;2392;1621;845;5018;92
29.04.2020;43498;2936;1574;831;5231;89
30.04.2020;42004;2615;1514;803;4846;93
1.05.2020;41431;2188;1480;818;4922;84
2.05.2020;36318;1983;1480;818;4451;78
3.05.2020;24001;1670;1424;766;4892;61
4.05.2020;35771;1614;1384;727;5015;64
5.05.2020;33283;1832;1338;707;5119;59
6.05.2020;30303;2253;1278;669;4917;64
7.05.2020;30395;1977;1260;665;4782;57
8.05.2020;33687;1848;1219;653;3412;48
9.05.2020;35605;1546;1168;628;3084;50
10.05.2020;36187;1542;1154;598;3211;47
11.05.2020;32722;1114;1126;578;3089;55
12.05.2020;37351;1704;1045;576;3109;53
13.05.2020;33332;1639;998;535;2826;58
14.05.2020;34821;1635;963;508;2315;55
15.05.2020;38565;1708;944;490;2103;48
16.05.2020;42236;1610;906;474;2004;41
17.05.2020;35369;1368;914;468;1825;44
18.05.2020;25141;1158;903;463;1615;31
19.05.2020;25382;1022;882;455;1318;28
20.05.2020;20838;972;877;445;1092;23
21.05.2020;33633;961;820;424;1003;27
22.05.2020;37507;952;800;401;1121;27
23.05.2020;40178;1186;775;338;1491;32
24.05.2020;24589;1141;769;385;1092;32
25.05.2020;21492;987;756;371;1321;29
26.05.2020;19853;948;739;338;1492;28
27.05.2020;21043;1035;723;331;1286;34
28.05.2020;33559;1182;683;339;1576;30
29.05.2020;36155;1141;662;324;1594;28
30.05.2020;39230;983;649;308;1021;26
31.05.2020;35600;839;648;287;989;25
1.06.2020;31525;827;651;283;974;23
2.06.2020;32325;786;633;271;974;22
3.06.2020;52305;867;612;261;931;24
4.06.2020;54234;988;602;265;926;21
5.06.2020;57829;930;592;269;1622;18
6.06.2020;35846;878;591;264;1922;21
7.06.2020;35335;914;613;274;2647;23
8.06.2020;39361;989;625;261;3411;19
9.06.2020;37225;993;642;281;3218;18
10.06.2020;36521;922;631;280;2241;17
11.06.2020;49190;987;643;266;1021;17
12.06.2020;41013;1195;664;282;1242;15
13.06.2020;45092;1459;684;284;985;14
14.06.2020;45176;1562;717;290;1330;15
15.06.2020;42032;1592;722;291;947;18
16.06.2020;46800;1467;732;303;1015;17
17.06.2020;52901;1429;745;306;1261;19
18.06.2020;48412;1304;755;311;1382;21
19.06.2020;41319;1214;769;310;1494;23
20.06.2020;41112;1248;781;318;1312;22
21.06.2020;40496;1192;803;327;1412;23
22.06.2020;41413;1212;846;345;1293;24
23.06.2020;42982;1268;893;362;1315;27
24.06.2020;53486;1492;914;356;1386;24
25.06.2020;52303;1458;941;369;1472;21
26.06.2020;51198;1396;962;382;1492;19
27.06.2020;45213;1372;984;366;1984;17
28.06.2020;48309;1356;996;381;1413;15
29.06.2020;51014;1374;1018;375;1214;18
30.06.2020;50492;1293;1026;368;1302;16
1.07.2020;52313;1192;1035;362;2311;19
2.07.2020;49714;1186;1067;372;1543;17
3.07.2020;52141;1172;1082;374;1313;19
4.07.2020;48248;1154;1093;378;1214;20
5.07.2020;46414;1148;1127;392;1188;19
6.07.2020;52193;1086;1130;395;2315;16
7.07.2020;50545;1053;1152;400;2297;19
8.07.2020;49302;1041;1172;406;2219;22
9.07.2020;50103;1024;1179;499;2879;18
10.07.2020;48787;1003;1182;402;1493;23
11.07.2020;48813;1016;1194;401;1334;21
12.07.2020;45232;1012;1209;409;1298;19
13.07.2020;46492;1008;1223;402;1156;19
14.07.2020;43231;992;1204;396;1049;20
15.07.2020;42320;947;1206;401;1013;17
16.07.2020;42411;933;1213;394;1087;21
17.07.2020;41215;926;1226;402;1014;18
18.07.2020;40943;918;1231;394;1179;17
19.07.2020;41310;924;1246;398;997;16
20.07.2020;43404;931;1245;385;992;17
21.07.2020;42846;928;1246;379;1009;18
22.07.2020;43404;902;1244;381;1203;19
23.07.2020;43343;913;1251;378;1151;18
24.07.2020;42986;937;1248;379;1009;17
25.07.2020;43312;921;1252;386;1103;16
26.07.2020;40016;927;1249;387;1010;17
27.07.2020;45283;919;1262;392;982;17
28.07.2020;47412;963;1280;403;1092;15
29.07.2020;45712;942;0;0;996;14
30.07.2020;43236;967;0;0;982;15
31.07.2020;46492;982;0;0;996;17
1.08.2020;44846;996;0;0;981;19
2.08.2020;40247;987;0;0;978;18
3.08.2020;41301;995;0;0;1003;19
4.08.2020;46249;1083;0;0;994;18
5.08.2020;53842;1178;0;0;1015;19
6.08.2020;54494;1153;0;0;1040;14
7.08.2020;56726;1185;0;0;1028;15
8.08.2020;63842;1172;0;0;1082;16
9.08.2020;61446;1182;0;0;1103;15
10.08.2020;62219;1193;0;0;1211;14
11.08.2020;61716;1183;0;0;1185;15
12.08.2020;67237;1212;0;0;934;18
13.08.2020;66892;1243;0;0;968;21
14.08.2020;70192;1226;0;0;923;22
15.08.2020;67214;1256;0;0;992;21
16.08.2020;65956;1192;0;0;997;19
17.08.2020;74846;1233;0;0;1002;22
18.08.2020;82318;1263;0;0;942;20
19.08.2020;87223;1303;0;0;1002;23
20.08.2020;92301;1412;0;0;882;19
21.08.2020;92227;1203;0;0;772;22
22.08.2020;93007;1309;0;0;801;22
23.08.2020;80302;1217;0;0;795;19
24.08.2020;95943;1443;0;0;743;18
25.08.2020;98231;1502;0;0;887;24
26.08.2020;100109;1313;0;0;1002;20
27.08.2020;106111;1491;0;0;995;26
28.08.2020;107814;1517;0;0;1017;36
29.08.2020;101414;1549;0;0;1003;39
30.08.2020;91302;1482;0;0;1027;42
31.08.2020;110102;1587;0;0;1087;44
1.09.2020;109443;1572;0;0;1003;47
2.09.2020;107927;1596;0;0;947;45
3.09.2020;110225;1642;0;0;1211;49
4.09.2020;117113;1612;0;0;1021;53
5.09.2020;99497;1673;0;0;984;56
6.09.2020;96842;1578;0;0;1013;53
7.09.2020;103925;1703;0;0;1047;57
8.09.2020;110565;1761;0;0;1093;52
9.09.2020;111193;1673;0;0;943;55
10.09.2020;107702;1512;0;0;1219;58
11.09.2020;112213;1671;0;0;1117;56
12.09.2020;98326;1509;0;0;1207;48
13.09.2020;96097;1527;0;0;1102;57
14.09.2020;112563;1716;0;0;1225;63
15.09.2020;110412;1742;0;0;1202;67
16.09.2020;112645;1771;0;0;1342;63
17.09.2020;109985;1648;0;0;1143;66
18.09.2020;111113;1771;0;0;1060;62
19.09.2020;97416;1538;0;0;1312;68
20.08.2020;95321;1519;0;0;1116;61
21.09.2020;112942;1743;0;0;1202;68
22.09.2020;114311;1692;0;0;1261;65
23.09.2020;112102;1767;0;0;1027;72
24.09.2020;113317;1721;0;0;1241;74
25.09.2020;112885;1665;0;0;1318;73
26.09.2020;102009;1511;0;0;1232;71
27.09.2020;101119;1467;0;0;1116;68
28.09.2020;115523;1412;0;0;1422;65
29.09.2020;114940;1427;0;0;1452;68
30.09.2020;112098;1391;0;0;1245;65
1.10.2020;113546;1407;0;0;1402;67
2.10.2020;114857;1442;0;0;1506;63
3.10.2020;103219;1502;0;0;1211;59
4.10.2020;104402;1429;0;0;1182;57
5.10.2020;115632;1603;0;0;1320;57
6.10.2020;112421;1511;0;0;1229;55
7.10.2020;116608;1581;0;0;1355;56
8.10.2020;117101;1615;0;0;1398;58
9.10.2020;115295;1629;0;0;1402;55
10.10.2020;113102;1649;0;0;1391;56
11.10.2020;109301;1502;0;0;1212;59
12.10.2020;115605;1614;0;0;1301;58
13.10.2020;114992;1632;0;0;1314;62
14.10.2020;115328;1671;0;0;1396;57
15.10.2020;116103;1693;0;0;1311;66
16.10.2020;117005;1812;0;0;1419;73
17.10.2020;112131;1723;0;0;1401;71
18.10.2020;101403;1815;0;0;1504;72
19.10.2020;116249;2026;0;0;1424;75
20.10.2020;116565;1894;0;0;1512;74
21.10.2020;117943;2013;0;0;1507;68
22.10.2020;117198;2102;0;0;1581;71
23.10.2020;115979;2165;0;0;1493;74
24.10.2020;113427;2091;0;0;1573;69
25.10.2020;112215;2017;0;0;1297;72
26.10.2020;132913;2198;0;0;1618;75
27.10.2020;127651;2209;0;0;1511;76
28.10.2020;128312;2305;0;0;1662;77
29.10.2020;134416;2319;0;0;1581;72
30.10.2020;136525;2322;0;0;1703;78
31.10.2020;124109;2213;0;0;1506;75
1.11.2020;123343;2106;0;0;1515;74
2.11.2020;139103;2302;0;0;1521;76
3.11.2020;146247;2343;0;0;1817;79
4.11.2020;144416;2391;0;0;1841;77
5.11.2020;146028;2311;0;0;1714;81
6.11.2020;145241;2436;0;0;1914;83
7.11.2020;139675;2483;0;0;1928;81
8.11.2020;141944;2516;0;0;2018;84
9.11.2020;145411;2576;0;0;2047;85
10.11.2020;146198;2529;0;0;2215;87
11.11.2020;145989;2693;0;0;2112;86
12.11.2020;148482;2841;0;0;2181;88
13.11.2020;149942;3045;0;0;2010;93
14.11.2020;150141;3116;0;0;2298;92
15.11.2020;142496;3223;0;0;2561;89
16.11.2020;151516;3316;0;0;2712;94
17.11.2020;156692;3819;0;0;2688;103
18.11.2020;158811;4215;0;0;2592;116
19.11.2020;157756;4542;0;0;2918;123
20.11.2020;156642;5103;0;0;3019;141
21.11.2020;152214;5532;0;0;3233;135
22.11.2020;155516;6017;0;0;3812;139
23.11.2020;161125;6713;0;0;3254;153
24.11.2020;162231;7381;0;0;3678;161
25.11.2020;164547;6814;0;0;3911;168
26.11.2020;168348;6876;0;0;3291;174
27.11.2020;171113;6592;0;0;3845;177
28.11.2020;174443;6714;0;0;3611;182
29.11.2020;168212;6439;0;0;4015;185
30.11.2020;176656;6514;0;0;4485;188
1.12.2020;180312;6101;0;0;4593;190
2.12.2020;183624;6690;0;0;4821;193
3.12.2020;187518;6511;0;0;4190;187
4.12.2020;194435;6903;0;0;4811;193
5.12.2020;178903;6128;0;0;4100;196
6.12.2020;174761;6093;0;0;4011;195
7.12.2020;196902;6420;0;0;5017;203
8.12.2020;201219;6593;0;0;5245;211
9.12.2020;204411;6213;0;0;5846;217
10.12.2020;206202;5918;0;0;5232;220
11.12.2020;208873;5607;0;0;5516;226
12.12.2020;189065;5203;0;0;20191;222
13.12.2020;181199;5103;0;0;22215;218
14.12.2020;204289;5064;0;0;28164;229
15.12.2020;206190;5105;0;0;29247;235
16.12.2020;205397;4893;0;0;29922;240
17.12.2020;206102;4209;0;0;30494;243
18.12.2020;205809;4103;0;0;31945;246
19.12.2020;173132;4002;0;0;25516;241
20.12.2020;158892;3546;0;0;21218;246
21.12.2020;196110;3412;0;0;34419;254
22.12.2020;192316;3309;0;0;32110;251
23.12.2020;202209;3192;0;0;34492;259
24.12.2020;195675;3218;0;0;33985;254
25.12.2020;201104;3199;0;0;35511;256
26.12.2020;178872;3002;0;0;23231;253
27.12.2020;172113;2806;0;0;21196;254
28.12.2020;180892;2816;0;0;22203;257
29.12.2020;183117;2783;0;0;21004;253
30.12.2020;184415;2612;0;0;20192;254
31.12.2020;178217;2219;0;0;22021;239
1.01.2021;158103;1908;0;0;14110;212
2.01.2021;149218;1713;0;0;11672;202
3.01.2021;138941;1515;0;0;10102;193
4.01.2021;181323;1508;0;0;9896;197
5.01.2021;183413;1477;0;0;8908;194
6.01.2021;182645;1458;0;0;8702;191
7.01.2021;183003;1370;0;0;8211;194
8.01.2021;184193;1291;0;0;9894;186
9.01.2021;168289;1103;0;0;7902;181
10.01.2021;162786;1017;0;0;8103;176
11.01.2021;180303;1003;0;0;10301;174
12.01.2021;179208;983;0;0;10013;171
13.01.2021;173603;971;0;0;9463;173
14.01.2021;169847;958;0;0;9011;170
15.01.2021;167211;921;0;0;9109;169
16.01.2021;156792;902;0;0;8005;168
17.01.2021;148636;803;0;0;8812;165
18.01.2021;151342;749;0;0;7905;164
19.01.2021;175133;761;0;0;7218;167
20.01.2021;168894;752;0;0;5932;159
21.01.2021;165109;743;0;0;6113;153
22.01.2021;163342;734;0;0;6018;149
