date;num_tests;num_case;total number of healed patients;total number of cases;num_recovered;num_deaths
11.03.2020;0;1;0;1;0;0
12.03.2020;0;0;0;1;0;0
13.03.2020;0;4;0;5;0;0
14.03.2020;0;0;0;6;0;0
15.03.2020;2800;1;0;18;0;0
16.03.2020;0;12;0;47;0;0
17.03.2020;0;29;0;98;0;1
18.03.2020;7197;51;0;191;0;0
19.03.2020;1981;94;0;359;0;2
20.03.2020;3656;167;0;670;0;1
21.03.2020;2953;311;0;947;0;5
22.03.2020;1758;566;0;1236;0;21
23.03.2020;3672;293;0;1529;0;7
24.03.2020;3952;343;0;1872;0;7
25.03.2020;5035;561;0;2433;26;15
26.03.2020;7286;1196;0;3629;0;16
27.03.2020;7533;2069;42;5698;16;17
28.03.2020;7641;1704;70;7402;28;16
29.03.2020;9982;1815;105;9217;35;23
30.03.2020;11535;1610;162;10827;57;37
31.03.2020;15422;2704;243;13531;81;46
1.04.2020;14396;2148;333;15679;90;63
2.04.2020;18757;2456;415;18135;82;79
3.04.2020;16160;2786;484;20921;69;69
4.04.2020;19664;3013;786;23934;302;76
5.04.2020;20065;3135;1042;27069;256;73
6.04.2020;21400;3148;1326;30217;284;75
7.04.2020;20023;3892;1582;34109;256;76
8.04.2020;24900;4117;1846;38226;264;87
9.04.2020;28578;4056;2142;42282;296;96
10.04.2020;30864;4747;2423;47029;281;98
11.04.2020;33170;5138;2965;52167;542;95
12.04.2020;35720;4789;3446;56956;481;97
13.04.2020;34456;4093;3957;61049;537;98
14.04.2020;33070;4062;4799;65111;842;107
15.04.2020;34090;4281;5674;69392;875;115
16.04.2020;40427;4801;7089;74193;1415;125
17.04.2020;40270;4353;8631;78546;1542;126
18.04.2020;40520;3783;10453;82329;1822;121
19.04.2020;35344;3977;11976;86306;1523;127
20.04.2020;39703;4674;13430;90980;1454;123
21.04.2020;39429;4611;14918;95591;1488;119
22.04.2020;37535;3083;16477;98674;1559;117
23.04.2020;40962;3116;18491;101790;2014;115
24.04.2020;38351;3122;21737;104912;3246;109
25.04.2020;38308;2861;25582;107773;3845;106
